case_id,section,surface,role,environment,phase,release_ref,priority,gate,coverage_mode,scenario,preconditions_or_test_data,expected_result,definition_ref,evidence_ref,workflow_state,result,verified_at,executor,approver,notes_or_risk
AUTH-001,Auth / Roles / Route Access,공통 > 로그인 / 세션,관리자,qa,Pre-release,main@5409b8c,P0,Blocker,Hybrid,관리자 로그인,로그인 화면 접근 가능 / steps=1) https://library.muzlife.com/login 접속 2) 관리자 계정 입력 3) 로그인,관리자 세션이 생성되고 메인 화면이 열린다,pytest:tests/test_ops_route_access.py | pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,script:scripts/run_smoke_qa.py 2026-04-18 / qa smoke pass,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,관리자 로그인 성공 | role=ADMIN | user=muzlife
AUTH-002,Auth / Roles / Route Access,공통 > 로그인 / 세션,현장 운영자,qa,Pre-release,main@5409b8c,P0,Blocker,Hybrid,현장 운영자 로그인,로그인 화면 접근 가능 / steps=1) 로그인 화면 접속 2) 현장 운영자 계정 입력 3) 로그인,현장 운영 화면으로 정상 진입하고 수정 권한 화면은 보이지 않는다,pytest:tests/test_ops_route_access.py | pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,script:scripts/run_field_regression_qa.py 2026-04-18 / qa operator regression pass,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,현장 운영자 로그인 성공 | user=kinolifecom
AUTH-003,Auth / Roles / Route Access,공통 > 로그인 / 세션,공통,qa,Pre-release,,P1,Non-blocking,Hybrid,로그아웃 동작,로그인 완료 / steps=1) 로그아웃 클릭 2) /login 재접속,세션이 제거되고 다시 로그인 화면이 나온다,pytest:tests/test_ops_route_access.py | pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,로그아웃 동작 정상 | session cleared
AUTH-004,Auth / Roles / Route Access,공통 > 로그인 / 세션,현장 운영자,qa,Pre-release,main@5409b8c,P0,Blocker,Hybrid,현장 운영자 수정 차단,현장 운영자 로그인 / steps=1) 검색/관리 진입 시도 2) 자료 수정 API 호출 유도,수정 저장이 차단되거나 수정 UI 접근이 제한된다,pytest:tests/test_ops_route_access.py | pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,browser QA smoke 2026-04-18 / operator write denied,Verified,Pass,2026-04-18T13:00:03+09:00,Codex,,현장 운영자 쓰기 차단 정상 | status=403
FIELD-001,Operator Home,운영 홈,현장 운영자,qa,Pre-release,main@5409b8c,P0,Release,Hybrid,운영 홈 검색,현장 운영자 로그인 / steps=1) 곡명/아티스트/앨범 검색,일치 상품과 현재 위치가 표시된다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,script:scripts/run_field_regression_qa.py 2026-04-18 / qa operator regression pass,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,현장 운영 조회 성공 | owned_item_id=593 | track=A1 슬픈 장난감
FIELD-002,Operator Home,운영 홈,현장 운영자,qa,Pre-release,main@5409b8c,P0,Release,Hybrid,장식장 열기용 위치 필드 제공,검색 결과 존재 / steps=1) 운영 홈 검색 2) 결과의 현재 장식장/층/칸 정보 확인,배치된 상품은 장식장 열기용 위치 필드(current_cabinet_name/current_column_code/current_cell_code)가 함께 제공된다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,script:scripts/run_field_regression_qa.py 2026-04-18 / qa operator regression pass,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,장식장 열기용 위치 필드 확인 가능 | cabinet=LP장 3 | column=03 | cell=02
FIELD-003,Operator Home,운영 홈,현장 운영자,qa,Pre-release,main@5409b8c,P1,Non-blocking,Hybrid,직전 위치 확인,이동 이력 존재 / steps=1) 검색 결과 확인,현재 위치와 직전 위치를 같이 확인할 수 있다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,script:scripts/run_field_regression_qa.py 2026-04-18 / qa operator regression pass,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,현재/직전 위치 확인 가능 | 현재=LP장 3 / 03열 / 02칸 | 직전=미배치
FIELD-004,Operator Home,운영 홈,현장 운영자,qa,Pre-release,main@5409b8c,P1,Non-blocking,Hybrid,관리자 화면 직접 접근 차단,현장 운영자 로그인 / steps=1) /admin 직접 접근,현장 운영자는 /ops 로 리다이렉트되고 관리자 화면을 볼 수 없다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,script:scripts/run_field_regression_qa.py 2026-04-18 / qa operator regression pass,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,현장 운영자 /admin 차단 확인 | location=- | final=http://127.0.0.1:8100/ops
OPS-015,Operator Home,운영 홈,현장 운영자,qa,Pre-release,main@5409b8c,P0,Release,Hybrid,운영 도우미 정확 일치 우선 요약,"운영 홈 조회 가능, 바코드/견출지 ID/제목+아티스트 정확 일치 대상 존재 / steps=1) 공백이 섞인 검색어 입력 2) 바코드로 조회 3) 견출지 ID로 조회 4) 제목+아티스트를 정확히 입력해 조회",기존 조회 결과 목록은 유지되고 상단 운영 도우미가 정규화 검색어와 함께 바코드 -> 견출지 ID -> 제목/아티스트 정확 일치 순서로 상단 후보를 요약한다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,live:http://127.0.0.1:8100/operator/catalog-search 2026-04-18 / barcode+label_id+title_artist exact-match probe,Verified,Pass,2026-04-18T15:22:48+09:00,Codex,,barcode exact=1 | label_id exact=1 | title+artist exact=3 | first label candidate=LP-001248
OPS-016,Operator Home,운영 홈,현장 운영자,qa,Pre-release,,P1,Non-blocking,Hybrid,운영 도우미 위치 요약과 장식장 CTA,"운영 홈 조회 가능, 배치 상품 1건과 미배치 상품 1건 존재 / steps=1) 배치 상품 조회 2) 운영 도우미의 장식장 열기 클릭 3) 미배치 상품 조회",배치 상품은 현재 위치와 장식장 열기 CTA가 보이고 미배치 상품은 현재 위치가 미배치로 표시되며 CTA가 숨겨진다. 별도 쓰기 호출 없이 기존 결과 요약만 갱신된다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,Automated contract coverage | canOpenCabinet gates CTA and unassigned helper note | tests/test_ops_shell_bootstrap.py
OPS-017,Operator Home,운영 홈,현장 운영자,qa,Pre-release,,P1,Non-blocking,Hybrid,운영 도우미 배치 우선 fallback,"운영 홈 조회 가능, 정확 일치가 없고 배치 상품과 미배치 상품이 함께 반환되는 검색어 존재 / steps=1) 정확 일치가 없는 검색어로 조회",정확 일치가 없으면 운영 도우미가 배치된 행을 우선 상단 후보로 선택하고 그마저 없을 때만 첫 번째 행을 사용한다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,Automated contract coverage | assigned fallback before first row | tests/test_ops_shell_bootstrap.py
OPS-018,Operator Home,운영 홈,현장 운영자,qa,Pre-release,,P1,Non-blocking,Hybrid,운영 도우미 stale 조회 응답 무시,"운영 홈 조회 가능, 조회 중 비우기 또는 새 검색을 재현할 수 있음 / steps=1) 조회 시작 2) 즉시 비우기 또는 다른 검색어로 다시 조회 3) 늦게 도착한 이전 응답 확인",이전 조회 응답이 늦게 도착해도 비우기 이후 화면이나 최신 검색 결과를 다시 덮어쓰지 않는다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,Automated contract coverage | operatorLookupRequestSeq invalidates stale completions | tests/test_ops_shell_bootstrap.py
DASH-001,Dashboard / Placement / Recovery,운영 홈 > 대시보드,관리자,qa,Pre-release,main@5409b8c,P0,Blocker,Manual-only,장식장 카드 진입,관리자 로그인 / steps=1) 대시보드 진입 2) 장식장 카드 클릭,선택한 장식장의 층/칸 상세가 열린다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,script:scripts/run_smoke_qa.py 2026-04-18 / qa smoke pass,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,대시보드 장식장 데이터 조회 성공 | slots=129
DASH-002,Dashboard / Placement / Recovery,운영 홈 > 대시보드,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,칸 선택 후 상품 표시,장식장 상세 열림 / steps=1) 칸 선택,선택 칸 상품이 하단에 표시된다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,script:scripts/run_smoke_qa.py 2026-04-18 / qa smoke pass,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,칸 상품 조회 성공 | slot=LP장-6-01-01 | items=5
DASH-003,Dashboard / Placement / Recovery,운영 홈 > 대시보드,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,선반 보기 선택/해제,칸 상품 존재 / steps=1) 선반 보기 2) 여러 상품 선택/해제,선택 아이콘이 정상 표시되고 선택 상태가 유지된다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,"browser:qa-library.muzlife.com 2026-04-18 / dash shelf selection toggle / screenshots:/tmp/dash-slot-open.png,/tmp/dash-select-on.png,/tmp/dash-select-off.png",Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,LP장-1-01-03 | owned_item_id=1022 | 선택 0건 -> 선택 1건 -> 선택 0건 요약 변경 확인
DASH-004,Dashboard / Placement / Recovery,운영 홈 > 대시보드,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,선반 첫 상품 선택,칸 첫 카드 존재 / steps=1) 선반에서 맨 왼쪽 상품 선택,첫 상품도 정상 선택된다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,2026-03-17 브라우저 검증 통과 | LP장-1-01-01 선반 첫 상품 선택 | summary=현재 칸 24건 | 선택 1건 | 선택 위치 1번 | 직전 미배치 | 직전 위치 복구 가능
DASH-005,Dashboard / Placement / Recovery,운영 홈 > 대시보드,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,선반 연속 선택,겹쳐진 카드 존재 / steps=1) 상품 선택 2) 바로 옆/다다음 상품 선택,선택된 카드가 옆 카드를 막지 않고 연속 선택 가능하다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,2026-03-17 브라우저 검증 통과 | 선반 연속 선택 정상 | LP장-1-01-01 | 선택 3건
DASH-006,Dashboard / Placement / Recovery,운영 홈 > 대시보드,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,같은 장 내 다른 칸 이동,선택된 상품 존재 / steps=1) 상품 선택 2) 다른 칸 클릭,선택 상품이 대상 칸으로 이동한다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,live:/owned-items/{id}/slot + /storage-slots/{id}/owned-items 2026-04-18 / same-cabinet move probe,Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,owned_item_id=1290 | QA DASH A 1776489444 / 01열 / 01칸 -> QA DASH A 1776489444 / 01열 / 02칸 | target_slot=QA-DASH-A-1776489444-01-02
DASH-007,Dashboard / Placement / Recovery,운영 홈 > 대시보드,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,다른 장식장 칸 이동,선택된 상품 존재 / steps=1) 상품 선택 2) 다른 장식장 열기 3) 대상 칸 클릭,선택 상품이 다른 장식장의 해당 칸으로 이동한다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,live:/owned-items/{id}/slot + /storage-slots/{id}/owned-items 2026-04-18 / cross-cabinet move probe,Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,owned_item_id=1290 | QA DASH A 1776489444 / 01열 / 02칸 -> QA DASH B 1776489444 / 01열 / 01칸 | target_slot=QA-DASH-B-1776489444-01-01
DASH-008,Dashboard / Placement / Recovery,운영 홈 > 대시보드,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,다중 선택 이동,한 칸에 여러 상품 존재 / steps=1) 2건 이상 선택 2) 다른 칸 클릭,선택한 모든 상품이 한 번에 이동한다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,"일괄 이동 완료 2건 -> LP장 1 / 01층 / 02칸 / moved storage_slot_id=426,426"
DASH-009,Dashboard / Placement / Recovery,운영 홈 > 대시보드,관리자,qa,Pre-release,main@5409b8c,P1,Release,Manual-only,직전 위치 복구,최근 이동 이력 존재 / steps=1) 상품 1건 선택 2) 직전 위치 복구 클릭,상품이 직전 위치로 돌아가고 최근 이동에 복구 표시가 남는다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,live:/owned-items/{id}/restore-previous-slot + /dashboard/collection 2026-04-18 / restore probe,Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,owned_item_id=1290 | restored=True | slot=QA-DASH-A-1776489444-01-02 | recent_move_rows=1
DASH-010,Dashboard / Placement / Recovery,운영 홈 > 대시보드,관리자,qa,Pre-release,,P2,Non-blocking,Manual-only,보기 모드 전환,칸 상품 존재 / steps=1) 선반/썸네일/리스트 전환,같은 선택 집합을 유지한 채 보기만 변경된다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,2026-03-17 브라우저 검증 통과 | 선반/썸네일/리스트 전환 중 선택 3건 유지
DASH-011,Dashboard / Placement / Recovery,운영 홈 > 대시보드,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,선반 클릭은 선택만 하고 편집은 분리,대시보드 선반 보기 / steps=1) 카드 클릭 2) 편집 버튼 클릭,카드 클릭은 선택만 수행하고 편집은 전용 버튼으로만 열린다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,"2026-03-17 브라우저 검증 통과 | 카드 클릭은 선택만, 편집은 툴바 버튼 | edit_owned_item_id=116"
DASH-012,Dashboard / Placement / Recovery,운영 홈 > 대시보드,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,선택한 선반 카드 UI 안정성,대시보드 선반 보기 / steps=1) 카드 선택 2) 마우스 오버 3) 옆 카드 선택,선택된 카드가 과도하게 확대/이동하지 않고 hover 시에만 움직인다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,"2026-03-17 브라우저 검증 통과 | 선택 카드 transform=none, hover 카드만 이동 | hover transform=matrix(1, 0, 0, 1, 0, -14)"
DASH-013,Dashboard / Placement / Recovery,운영 홈 > 대시보드,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,이동 작업대 추천 칸 계산,이동 작업대에 상품 1건 이상 존재 / steps=1) 추천 칸 계산 실행 2) 추천 힌트와 버튼 확인,가나다순 배열 장식장 기준 추천 칸이 표시되고 현재 칸/추천 칸 힌트가 보인다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,브라우저 확인 완료 | 추천 CD장 2 / 01층 / 01칸 외 1칸 표시
DASH-014,Dashboard / Placement / Recovery,운영 홈 > 대시보드,관리자,qa,Pre-release,,P1,Non-blocking,Manual-only,상품/추천 칸에서 상단 칸 자동 열기,배치 상품 또는 추천 칸이 있는 상품 선택 / steps=1) 대시보드에서 현재 칸 보기 또는 추천 칸 보기 클릭,해당 장식장/층/칸이 상단에서 자동으로 열리고 강조된다,pytest:tests/test_ops_shell_bootstrap.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,브라우저 함수 검증 완료 | openDashboardForSlotLocation active slot pulse 확인
SEARCH-001,Search / Manage,미디어 > 검색/관리,관리자,qa,Pre-release,main@5409b8c,P0,Blocker,Hybrid,상품명 검색,보유 상품 존재 / steps=1) 상품명 입력 2) 검색,해당 마스터가 결과에 표시된다,pytest:tests/test_ops_shell_bootstrap.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,script:scripts/run_smoke_qa.py 2026-04-18 / qa smoke pass,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,앨범 검색 성공 | master_id=549 | title=제11집
SEARCH-002,Search / Manage,미디어 > 검색/관리,관리자,qa,Pre-release,main@5409b8c,P0,Release,Hybrid,변형 제목 검색,제11집 형태 상품 존재 / steps=1) 산울림 11집 검색,제11집으로 저장된 상품도 검색된다,pytest:tests/test_ops_shell_bootstrap.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,api:/album-masters 2026-04-18 / qa admin search verification,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,변형 제목 검색 성공 | master_id=549 | title=제11집
SEARCH-003,Search / Manage,미디어 > 검색/관리,관리자,qa,Pre-release,main@5409b8c,P0,Release,Hybrid,곡명 검색,곡 정보 있는 상품 존재 / steps=1) 곡명 검색,해당 곡이 수록된 상품/마스터가 검색되고 일치 곡이 표시된다,pytest:tests/test_ops_shell_bootstrap.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,api:/album-masters 2026-04-18 / qa admin search verification,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,곡명 검색 성공 | master_id=549 | match=A1 슬픈 장난감
SEARCH-004,Search / Manage,미디어 > 검색/관리,관리자,qa,Pre-release,main@5409b8c,P0,Release,Hybrid,바코드 검색,바코드 보유 상품 존재 / steps=1) 바코드 입력 2) 검색,정확한 상품/마스터가 우선 노출된다,pytest:tests/test_ops_shell_bootstrap.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,api:/album-masters 2026-04-18 / qa barcode verification,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,바코드 검색 성공 | barcode=000000010240 | master_id=1 | title=Greatest Hits Vol. II
SEARCH-005,Search / Manage,미디어 > 검색/관리,관리자,qa,Pre-release,,P1,Non-blocking,Hybrid,상품 수정 저장,보유 상품 상세 열림 / steps=1) 상태/메모/구매처 수정 2) 저장,저장 완료 후 현재 상세와 관련 리스트가 갱신된다,pytest:tests/test_ops_shell_bootstrap.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,상품 수정 저장/원복 성공 | owned_item_id=60
SEARCH-006,Search / Manage,미디어 > 검색/관리,관리자,qa,Pre-release,main@5409b8c,P1,Release,Hybrid,이전 위치 복구,직전 위치 이력 존재 / steps=1) 상품 상세 열기 2) 이전 위치 복구,상품이 원래 위치로 복구된다,pytest:tests/test_ops_shell_bootstrap.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,api:/owned-items/{id}/restore-previous-slot 2026-04-18 / qa live verification,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,이전 위치 복구 성공 | owned_item_id=1276 | LP장-1-01-02 -> LP장-1-01-01
SEARCH-007,Search / Manage,미디어 > 검색/관리,관리자,qa,Pre-release,,P1,Non-blocking,Hybrid,다른 소스 상품 추가 바코드 조회 fallback,현재 편집 화면 열림 / steps=1) 바코드 입력 2) 특정 소스 결과 없음 3) 조회,선택 소스 결과가 없으면 AUTO로 보정 조회해 후보를 보여준다,pytest:tests/test_ops_shell_bootstrap.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,조회 완료: 1건 / 보정 소스: AUTO / 1건
SEARCH-008,Search / Manage,미디어 > 검색/관리,관리자,qa,Pre-release,,P1,Non-blocking,Hybrid,다른 소스 상품 추가 무바코드 공백 보정,현재 편집 화면 열림 / steps=1) 스텔라 장처럼 공백 있는 한글 아티스트/상품명으로 조회,띄어쓰기 보정 질의로 후보가 조회된다,pytest:tests/test_ops_shell_bootstrap.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,2026-03-17 브라우저 검증 통과 | 무바코드 공백 보정 성공 | query=가을방학 가을방학 WMED1106 | status=조회 완료: 1건 / 보정 소스: AUTO
SEARCH-009,Search / Manage,미디어 > 검색/관리,관리자,qa,Pre-release,,P1,Non-blocking,Hybrid,대시보드 복귀 후 다른 상품 편집 진입,대시보드에서 상품 편집 후 다시 대시보드로 복귀 / steps=1) 다른 상품의 편집 버튼 클릭,새로 누른 상품의 편집 화면으로 정상 이동한다,pytest:tests/test_ops_shell_bootstrap.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,2026-03-17 브라우저 검증 통과 | 대시보드 복귀 후 다른 상품 편집 정상 | second_edit_owned_item_id=100
SEARCH-010,Search / Manage,미디어 > 검색/관리,관리자,qa,Pre-release,,P1,Non-blocking,Hybrid,ManiaDB 최초 등록 상품에서 Discogs 연계 상품 추가,현재 상품이 ManiaDB 기반으로 생성되어 내부 마스터에 연결됨 / steps=1) 다른 소스 상품 추가에서 Discogs 조회 2) 연계 상품으로 추가,마스터 재선택 없이 현재 내부 마스터로 Discogs 상품이 편입된다,pytest:tests/test_ops_shell_bootstrap.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,"조회 완료: 3건 / 연계 상품 추가 완료: owned_item_id=202, label_id=LP-000202"
SEARCH-011,Search / Manage,미디어 > 검색/관리,관리자,qa,Pre-release,,P1,Non-blocking,Hybrid,다른 소스 상품 추가 바코드/무바코드 AUTO fallback,편집 화면 진입 / steps=1) 바코드 또는 무바코드 조회 2) 특정 소스 결과 없음 3) AUTO fallback 확인,선택 소스에서 결과가 없으면 AUTO로 보정 조회되어 후보가 보인다,pytest:tests/test_ops_shell_bootstrap.py | pytest:tests/test_ops_route_access.py | manual:docs/management_tool_manual.md,,Ready,Not Run,,,,조회 완료: 3건 / 보정 소스: AUTO / 3건
